Perpetrator_Sex,Weapon,Incident,pc
0,0,129657,15.292896529354525
0,1,2565,0.3025388494087813
0,2,11437,1.3489812166425854
0,3,431,0.05083596261020847
0,4,345,0.04069235986199982
0,5,20097,2.3704184236133634
0,6,52266,6.164715595789225
0,7,245,0.028897472945478134
0,8,248836,29.349924807595908
0,9,236540,27.8996255123404
0,10,2641,0.3115029634653378
0,11,12550,1.480258308023472
0,12,13765,1.6235661840592104
0,13,2642,0.311620912334503
0,14,4748,0.5600212307964497
0,15,109060,12.863503671158552
1,0,1081133,12.227614201876488
1,1,2288,0.025877279940482258
1,2,21831,0.2469086094321102
1,3,4008,0.0453304798957399
1,4,994,0.011242139974143079
1,5,61369,0.6940833884036082
1,6,1163447,13.158585539735252
1,7,5446,0.0615942598583332
1,8,4278870,48.39401958869375
1,9,1249633,14.133349197493297
1,10,3668,0.04148507990458432
1,11,243086,2.749302653676604
1,12,273808,3.0967684728774327
1,13,25896,0.29288375932636734
1,14,9464,0.10703783975381297
1,15,416792,4.71391750915799
2,0,380929,7.657780176724653
2,1,1159,0.023299268957794952
2,2,3808,0.07655186901750058
2,3,2711,0.054498980280053594
2,4,491,0.00987052722888466
2,5,38158,0.7670867169038307
2,6,956350,19.225414898867303
2,7,5853,0.1176623133822035
2,8,2577456,51.81435769705121
2,9,424463,8.53294012047672
2,10,915,0.01839415970352233
2,11,123640,2.485523394255192
2,12,76741,1.5427171691890789
2,13,33168,0.6667732120725997
2,14,9444,0.18985185162848622
2,15,339119,6.8172776442609715
