Victim_Sex,Weapon,Incident,pc
0,0,564042,18.694492429294343
0,1,2611,0.08653844879084807
0,2,13490,0.4471097947868788
0,3,2414,0.08000912117238883
0,4,1065,0.035298141693700956
0,5,50944,1.6884774933745554
0,6,332633,11.024719968075896
0,7,1483,0.04915224801104086
0,8,995861,33.006612849981906
0,9,510556,16.92176340898515
0,10,2781,0.0921728939438332
0,11,59526,1.9729175422152516
0,12,69893,2.316519265162292
0,13,40210,1.3327119976560708
0,14,13132,0.43524431617059245
0,15,356515,11.816260080685254
1,0,1024531,8.814356513371477
1,1,3385,0.02912220010693913
1,2,23578,0.20284881362523213
1,3,4736,0.040745270223475245
1,4,765,0.006581531191080778
1,5,68478,0.589137376343568
1,6,1836387,15.799004339078767
1,7,10053,0.08648906282867327
1,8,6101266,52.49107514258909
1,9,1399123,12.03708714334446
1,10,4441,0.03820729414325456
1,11,319690,2.750391773172044
1,12,294377,2.532616218871616
1,13,21488,0.1848678983450245
1,14,10505,0.09037775838209618
1,15,500632,4.307091664383205
2,0,3146,13.460551086770495
2,1,16,0.06845798391237377
2,2,8,0.03422899195618689
2,5,202,0.864282046893719
2,6,3043,13.019852815334588
2,7,8,0.03422899195618689
2,8,8035,34.378743795995206
2,9,957,4.094643162758857
2,10,2,0.008557247989046722
2,11,60,0.2567174396714017
2,12,44,0.1882594557590279
2,13,8,0.03422899195618689
2,14,19,0.08129385589594386
2,15,7824,33.47595413315078
