Date,Incident
1980-01-15,22355
1980-02-15,20044
1980-03-15,20228
1980-04-15,23962
1980-05-15,25112
1980-06-15,29580
1980-07-15,31731
1980-08-15,41410
1980-09-15,18064
1980-10-15,37299
1980-11-15,24028
1980-12-15,43998
1981-01-15,27924
1981-02-15,20990
1981-03-15,26709
1981-04-15,22862
1981-05-15,23709
1981-06-15,16831
1981-07-15,33573
1981-08-15,26354
1981-09-15,25981
1981-10-15,23977
1981-11-15,27453
1981-12-15,12360
1982-01-15,20367
1982-02-15,17779
1982-03-15,20096
1982-04-15,19198
1982-05-15,26519
1982-06-15,23859
1982-07-15,25200
1982-08-15,22643
1982-09-15,27387
1982-10-15,25263
1982-11-15,17124
1982-12-15,11294
1983-01-15,18714
1983-02-15,14819
1983-03-15,23076
1983-04-15,25147
1983-05-15,24122
1983-06-15,15488
1983-07-15,26072
1983-08-15,23837
1983-09-15,24613
1983-10-15,21150
1983-11-15,17374
1983-12-15,43170
1984-01-15,17356
1984-02-15,14171
1984-03-15,14984
1984-04-15,16101
1984-05-15,15942
1984-06-15,14042
1984-07-15,14812
1984-08-15,16310
1984-09-15,16777
1984-10-15,13581
1984-11-15,19664
1984-12-15,31966
1985-01-15,16100
1985-02-15,14109
1985-03-15,14679
1985-04-15,14625
1985-05-15,11584
1985-06-15,15137
1985-07-15,21382
1985-08-15,18761
1985-09-15,15411
1985-10-15,16378
1985-11-15,15631
1985-12-15,11190
1986-01-15,20177
1986-02-15,15129
1986-03-15,22684
1986-04-15,22696
1986-05-15,18437
1986-06-15,18933
1986-07-15,27948
1986-08-15,25447
1986-09-15,24553
1986-10-15,19686
1986-11-15,9318
1986-12-15,9796
1987-01-15,15189
1987-02-15,17641
1987-03-15,17671
1987-04-15,17100
1987-05-15,20282
1987-06-15,24067
1987-07-15,22592
1987-08-15,17382
1987-09-15,19805
1987-10-15,17787
1987-11-15,28602
1987-12-15,10755
1988-01-15,23740
1988-02-15,19116
1988-03-15,17616
1988-04-15,16806
1988-05-15,23988
1988-06-15,21677
1988-07-15,31805
1988-08-15,35438
1988-09-15,29621
1988-10-15,28063
1988-11-15,21201
1988-12-15,11630
1989-01-15,22564
1989-02-15,20004
1989-03-15,21598
1989-04-15,22525
1989-05-15,22851
1989-06-15,27366
1989-07-15,31166
1989-08-15,32005
1989-09-15,37634
1989-10-15,29668
1989-11-15,13064
1989-12-15,15181
1990-01-15,37175
1990-02-15,22341
1990-03-15,31588
1990-04-15,24761
1990-05-15,31934
1990-06-15,36890
1990-07-15,38585
1990-08-15,39134
1990-09-15,34344
1990-10-15,33520
1990-11-15,10248
1990-12-15,14647
1991-01-15,32331
1991-02-15,21071
1991-03-15,32154
1991-04-15,35114
1991-05-15,33266
1991-06-15,37718
1991-07-15,42872
1991-08-15,52342
1991-09-15,40196
1991-10-15,34201
1991-11-15,27210
1991-12-15,22812
1992-01-15,32013
1992-02-15,25436
1992-03-15,29671
1992-04-15,28138
1992-05-15,32739
1992-06-15,28073
1992-07-15,39425
1992-08-15,36436
1992-09-15,44169
1992-10-15,30318
1992-11-15,31765
1992-12-15,41406
1993-01-15,33537
1993-02-15,19865
1993-03-15,29614
1993-04-15,23611
1993-05-15,27722
1993-06-15,31382
1993-07-15,39529
