Year,Month,Incident,Victim_Age,Perpetrator_Age,Weapon
1980,5,2,22,0,8
2007,6,25,37,0,4
2002,9,15,27,0,6
1982,3,1,28,29,6
1992,1,1,0,14,0
1993,2,1,27,50,6
2011,10,816,56,49,9
2012,2,2,42,45,7
2012,3,1,43,31,4
1980,5,1,29,33,6
2008,9,2,29,25,6
1995,10,1,43,34,7
2001,8,1,35,19,8
2009,2,1,16,18,6
2011,5,2,31,25,6
1988,9,8,56,0,4
2001,0,18,44,46,0
2009,4,18,27,21,6
1993,0,1,39,36,6
1997,2,1,24,32,7
1986,6,68,20,16,6
2006,1,1,34,29,6
2010,3,84,35,36,6
1994,11,1,25,23,8
1981,6,1,29,24,7
2002,6,1,47,65,6
1992,2,7,30,0,6
2000,9,2,26,29,6
1992,6,17,27,0,6
1985,10,1,25,27,7
1997,0,1,24,25,6
1989,10,36,20,18,6
1996,3,1,68,19,11
2006,5,19,33,0,6
2004,1,1,19,28,6
2011,2,4,30,0,6
1996,0,46,17,17,6
2009,11,10,0,27,12
1999,2,1,32,0,6
1992,5,28,38,17,6
2002,2,3,0,0,0
1993,0,9,21,33,6
1985,5,1,35,56,6
1999,2,1,28,18,6
2007,2,13,18,0,4
1987,8,1,54,35,9
2014,0,1,19,19,6
1982,2,17,29,0,6
1983,11,11,26,0,6
2013,11,1,33,16,6
2011,9,1,31,35,9
2010,9,2,24,0,6
1993,5,55,34,20,6
1984,6,1,46,36,6
1993,4,1,2,28,0
1990,10,5,29,29,6
1990,9,1,19,0,6
1992,7,10,16,18,6
2001,10,1,31,0,6
2005,8,3,17,0,6
1986,10,2,27,29,6
1989,0,3,31,26,7
1985,5,3,22,42,6
1998,9,40,0,0,0
1987,0,1,37,25,6
2011,8,1,17,23,6
1999,0,16,19,24,6
2008,2,1,23,30,6
1988,5,2,0,0,12
1993,8,1,30,0,6
2005,2,1,99,38,4
1991,2,1,57,28,7
2004,4,1,46,0,3
2011,8,9,26,18,12
1996,7,41,43,29,6
1990,2,35,21,15,6
2007,2,4,37,0,9
2010,3,1,53,46,6
1992,8,60,17,0,4
2001,2,2,49,0,6
2009,11,1,26,26,0
2000,10,29,22,0,6
2013,6,3,54,39,7
1989,6,82,59,67,7
1983,6,12,54,0,7
1997,11,60,16,16,6
1995,7,1,38,38,7
1995,0,5,39,0,6
1998,8,1,29,40,0
1982,4,6,64,0,0
2001,2,1,37,33,12
2005,5,20,23,0,5
1995,6,2,18,0,6
2002,9,4,40,0,12
1996,5,1,36,0,4
2010,7,676,25,48,4
2001,5,2,17,0,6
2003,1,2,19,19,6
1993,11,3,49,20,6
2003,3,2,34,0,6
2006,5,1,25,17,6
1991,5,19,50,31,7
1988,4,10,23,0,6
1981,1,9,34,0,6
1997,6,12,23,35,6
1998,1,4,20,0,0
2011,11,232,27,19,12
1985,1,31,39,33,6
1993,3,3,24,27,6
1997,3,8,33,0,12
2000,9,2,21,36,6
2004,9,6,31,20,8
1984,11,13,47,27,0
1992,10,1,19,19,6
1993,1,3,18,0,4
1992,10,33,32,0,6
1986,2,1,30,0,9
2005,9,2,99,0,5
1987,1,1,40,26,6
2013,8,6,44,31,6
1985,9,10,72,30,6
1987,2,2,38,43,6
1994,11,28,31,0,6
1995,4,2,19,23,9
2007,7,3,28,0,6
1994,9,2,51,15,6
1982,10,1,33,30,6
1989,8,30,7,31,9
1987,10,1,34,33,7
2012,6,15,20,21,6
1994,8,32,30,14,0
2008,0,1,29,0,4
1985,7,1,24,0,10
1992,5,1,15,16,6
2011,9,13,23,23,6
1983,4,2,23,0,6
1988,5,1,12,21,6
1983,10,11,40,0,0
1984,7,1,31,31,6
2003,4,5,43,40,7
1980,6,7,31,19,7
1992,7,1,23,0,7
1996,0,1,20,48,9
2002,0,1,24,24,6
2000,11,1,99,0,12
1987,5,1,67,68,0
1985,2,53,16,16,6
2007,10,6,19,0,4
1987,7,113,25,0,6
1996,0,34,35,0,6
1980,2,1,25,27,6
2002,1,2,39,44,9
2001,9,11,34,20,6
1984,8,8,30,37,6
2013,0,11,33,31,4
2007,6,1,51,16,7
2010,3,2,26,27,6
1992,1,10,22,0,6
1982,5,3,61,64,8
2014,11,1,45,0,8
1997,2,24,17,0,6
2009,4,2,40,47,6
1980,7,1,28,48,7
2007,5,2,46,32,7
1990,4,168,22,16,6
2000,4,19,22,24,6
1986,7,10,30,0,6
1998,0,1,30,26,4
1983,1,1,99,46,8
1992,8,2,51,45,7
1991,10,1,29,45,8
1986,1,1,48,0,3
2004,4,1,35,40,4
1998,10,1,20,0,6
1994,5,1,34,0,0
1987,1,9,28,0,0
2011,6,1,20,17,0
2012,11,264,26,46,4
2002,8,1,45,31,7
2005,0,2,26,0,6
1986,0,82,27,0,6
2011,9,1,24,0,7
2010,8,22,25,0,6
1994,7,7,33,45,3
2008,8,32,28,21,9
1992,7,11,20,0,6
1992,1,164,28,0,6
1999,6,8,38,0,12
1980,1,7,32,43,6
1984,9,13,55,23,0
1993,5,42,23,0,9
1995,1,1,22,0,4
1992,6,150,21,0,6
2009,9,6,35,33,9
1983,9,2,19,0,10
1981,6,6,37,16,0
1992,11,1,21,46,6
1991,9,10,1,0,0
1982,2,15,19,21,0
1990,9,1,17,15,9
2004,8,28,30,20,6
1991,5,3,18,0,6
1991,0,12,26,20,4
2014,2,1,28,49,4
2001,10,47,29,0,6
1994,5,105,20,0,9
2014,1,1,27,20,6
2004,0,5,24,18,7
2013,9,1,12,12,4
1995,0,8,41,0,6
1983,6,1,75,30,0
1985,3,11,36,22,6
2009,9,1,56,26,7
2010,4,7,32,0,6
1996,10,1,64,0,0
2003,8,1,27,20,6
2014,5,8,0,22,11
2010,1,1,33,21,0
1990,4,2,52,0,4
1992,0,4,21,30,0
1992,11,11,18,0,6
2006,4,18,31,0,5
1997,11,1,17,0,4
2008,9,6,15,14,7
1998,5,23,52,68,6
1992,4,64,13,35,6
2001,1,1,23,35,6
2005,10,24,17,0,0
2009,5,9,28,0,6
2011,6,1,24,0,6
1989,9,11,0,29,0
1993,3,11,21,29,6
1996,11,4,19,17,6
2001,8,28,21,0,12
2002,8,932,39,45,7
1980,4,43,37,0,6
1992,2,29,44,0,4
1997,6,2,19,21,6
2008,6,10,22,0,6
2006,8,3,41,0,6
1994,8,1,25,19,0
2002,10,4,47,0,6
2004,9,1,19,27,7
1980,1,16,41,0,6
1989,5,1,85,0,7
1981,3,29,49,30,7
1986,6,111,40,28,0
1992,6,10,65,48,6
1985,9,2,27,24,6
2000,8,1,52,0,6
2012,8,948,64,72,6
1997,5,20,34,0,12
2006,6,38,34,34,0
2000,2,4,63,0,6
1987,6,1,46,42,6
1985,9,1,6,26,6
1982,11,47,34,42,7
1993,2,10,23,19,6
1989,11,1,21,18,7
1995,6,1,24,0,6
2001,11,1,25,18,6
2008,2,1,45,26,0
1997,7,1,38,53,6
2013,9,10,21,0,6
1993,3,4,26,0,6
1987,10,1,77,0,7
1995,1,2,15,24,9
1988,4,32,22,14,7
1981,6,30,41,37,6
1990,4,7,64,0,7
1989,10,74,16,15,6
2004,8,1,25,27,6
2007,4,1,24,30,6
1988,2,5,31,19,0
1984,0,1,62,68,6
2009,10,1,32,36,6
2004,6,570,46,43,0
1996,4,1,27,0,6
1995,0,17,22,27,2
2005,9,1,20,26,6
1999,3,1,49,64,7
2009,1,13,57,23,7
1997,4,1,56,0,6
