City,Agency_Name,Victim_Race
184,287,4
234,164,4
96,143,1
234,410,4
304,432,1
358,105,4
17,36,4
292,453,1
94,115,1
432,532,4
18,35,1
284,434,1
85,103,1
307,476,4
430,63,4
232,247,1
222,344,4
178,273,4
234,364,4
287,440,4
315,489,4
284,434,1
125,436,1
170,290,1
111,8,1
195,306,4
234,364,1
434,157,1
241,704,4
378,395,1
441,658,4
322,501,1
214,403,1
302,573,4
351,556,1
315,489,4
171,593,4
343,29,1
404,665,4
284,434,1
434,157,1
434,157,4
393,615,1
234,217,1
434,157,1
26,529,4
284,434,4
6,628,1
107,154,4
223,347,4
400,660,4
198,174,4
96,143,1
140,27,1
290,508,4
282,430,3
132,352,4
96,143,1
186,50,4
18,35,1
284,434,4
234,364,4
331,516,4
234,364,4
96,143,4
408,207,4
398,624,4
184,287,4
85,103,4
359,564,4
247,300,1
361,659,4
260,464,1
451,315,1
394,510,4
140,27,1
429,522,1
353,551,1
420,176,1
170,290,1
284,434,1
244,377,1
242,375,4
234,364,4
234,364,4
287,440,1
306,537,1
140,27,1
25,47,1
180,278,4
361,379,4
284,434,1
332,356,4
425,0,4
49,314,4
401,62,1
451,315,4
353,551,4
379,595,4
245,490,4
18,35,1
109,160,1
450,736,4
208,584,1
85,103,4
48,252,4
359,564,4
85,103,1
96,88,4
302,328,4
315,489,1
170,290,4
284,434,1
262,405,4
284,434,1
69,102,4
135,200,1
170,290,4
407,670,4
18,35,1
299,461,4
95,402,4
41,68,1
234,364,1
284,434,1
284,434,1
84,22,1
353,551,1
284,434,4
139,212,4
358,563,4
271,131,4
137,637,4
434,157,1
185,91,4
63,664,4
244,377,4
234,335,4
434,157,1
329,653,4
312,486,1
85,103,4
102,152,1
231,358,4
304,432,4
447,733,4
332,356,4
186,324,4
247,300,1
4,451,4
7,499,1
84,132,1
4,451,1
344,536,4
392,469,1
437,420,1
318,682,4
276,127,1
290,648,4
324,433,1
196,641,4
85,103,4
434,157,1
4,46,2
234,477,4
293,649,4
262,405,4
287,440,1
254,702,1
170,257,4
36,20,4
73,342,4
166,107,4
100,258,1
265,407,1
124,186,4
316,668,1
361,659,0
108,158,1
399,128,4
342,126,1
196,722,4
30,49,1
453,738,2
85,103,1
170,290,0
41,343,4
85,103,1
196,308,4
24,250,1
434,157,1
330,515,1
434,656,4
359,564,4
217,218,1
96,143,4
84,130,4
271,413,4
437,420,1
18,35,1
8,11,4
85,103,1
162,246,4
265,407,4
196,53,1
184,287,4
234,364,4
289,137,4
168,255,1
101,423,1
384,546,4
235,368,4
262,405,2
65,98,4
196,53,1
360,565,1
234,364,4
245,490,1
302,698,4
170,290,1
93,699,4
234,364,4
