Feature,SumSquareLoading
City,0.27441781887420913
Agency_Name,0.257980812944271
Victim_Race,0.2130108334322288
Weapon,0.11582050283376853
Agency_Code,0.0909819306525483
State,0.008126099511619782
Crime_Type,0.00792626269431373
Month,0.005300012172857841
Victim_Age,0.004990194482415815
Agency_Type,0.0046262394422529485
Incident,0.003843982782374074
Year,0.003099498425773424
Victim_Sex,0.002540247847520433
Victim_Ethnicity,0.002293632674735199
Perpetrator_Race,0.0019815178147556136
Perpetrator_Ethnicity,0.0013535970556551576
Relationship,0.0006399556019645218
Perpetrator_Age,0.0005148506616037023
Perpetrator_Sex,0.0004346035974738803
